,,,,,,,,,,,,,,,,,,,,,
,,,,Legend,✅ Accepted,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Downgraded from Opus to Tzafon,https://www.theguardian.com/politics/2016/may/06/holyrood-elections-see-rise-of-team-ruth-and-demise-of-labour-vision,"Kristian, Shrishti",Colin,,,https://www.trajectories.sh/t/254ff909-8f10-408f-af75-d7e15362fbe1,highest_percentage_of_votes_for_con,"Using the provided Guardian article on the 2016 Holyrood election results, report which constituency received the highest percentage of Conservative votes among Almond Valley, Moray, and Fife North East. State the exact percentage, and nothing else.","100: Response states Moray and 38.5% with no extraneous information. Acceptable formats: 'Moray, 38.5%', 'Moray: 38.5%', '38.5% in Moray', 'Moray received 38.5 percent', etc.",,,,,,,"*Krisitan & Shrishti Consensus* 
The agent isn't challenged enough on this task. Failures are from trying to reward hack, but when the agent decides to do the task instead, it gets it right. 

* New Comments * 
Kristian: Opus Trajectory uses wikipedia-lookup reward hacking. We need to figure out what to think of / how to handle this. TB community would say it's a task design problem ( answer correlates with widely available information the agent has already been trained on, and has access to ).

Kristian: In this Opus Trajectory, the agent wastes away trying and failiing to reward hack. I think some of these are acceptable for tasks. Agent gets it wrong not due to incorrect info, but because we were ambiguous around what consists of 'extraneous' information 

LLM as Judge
""While the response does state 'Moray' and '38.5%', it includes substantial extraneous information such as vote counts for all three constituencies, intermediate reasoning, and repeated mentions of the answer. The criterion requires 'no extraneous information.'""

Shrishti: Reran the tasks and on the first trace the agent still spends a lot of time reward hacking but on the 92nd step it actually starts using the map. It cleverly uses the scottish geography to quickly find the correct tiles instead of guessing and checking. It is able to correctly report the percentages for moray and fife north east but runs out of steps after. Google AI overview gave the answer.
* Old Comments * 
1. seems off that we're referring to the conservative party as Con, but maybe that's a thing in the UK 2. might need to be a little more explicit if we want to make it search resillient (i.e. according to the gaurdian's reporting of this certain election on date X...) same old stuff. 

Additional concern: will these infographics archive? shrishti: no they won't archive because the hovering and percentages are based on js which are not part of the article's base test",,"Between Almond Valley, Moray, and Fife North East, which area had the highest percentage of votes for Con? State the exact percentage.",100: 'States that Moray had the highest percentage of votes for Con with a percentage of 38.5%'
,Navigating Multiple Government Sites and Using Government Portals,Downgraded from Opus to Tzafon,https://www.newcastlede.gov/2503/Permits-Inspections,,Kristian ,,100%,"w Verifier: Trace 1, Trace 2, Trace 3

Old: 4 Opus Runs",gb-de-new-castle-county-permits-inspections-t01-workflow-requirements,"Using the New Castle County Permits & Inspections site, Identify the complete sequence of steps required to obtain a building permit for a new single-family home construction, from initial application to final certificate of occupancy.","35: End-to-End Sequence Synthesis. The response must successfully capture the macro-level sequence of the permit lifecycle, proving the model synthesized the disparate guides on the county site. Required Elements:

• Application Phase: Must mention utilizing the county's digital portals (eApply, ePlans, or eServices) to initiate the permit and upload documents.
• Construction/Inspection Phase: Must mention that once the permit is issued, construction begins and a sequence of mandatory inspections must be scheduled and passed.
• Completion Phase: Must mention that passing the final inspection AND submitting final documents results in the issuance of the Certificate of Occupancy (CO).


35: Pre-Application & Upload Requirements. The response must describe the permit workflow and include at least three of the core steps listed below, in any order. The agent has flexibility in how much detail it provides for each item, but its description must not contradict the clarifications shown in parentheses.

• Building Contractor License with Home Warranty Approval OR, if the owner-occupier is acting as their own contractor, the Owner-Occupier Affidavit and Owner-Occupier Warranty Exemption Form.
. Building Plans (MEP drawings are not required)
. Transfer Tax Forms (may mention State RTT-BPA and/or NCC Transfer Tax)
. Lines and Grades Plan (may mention ""Lines and Grades"" or ""L&G Plan""; generic ""site plan"" acceptable when summarizing at a high level, provided description doesn't conflict with L&G requirements); 
. Energy Code Compliance form (REScheck or REM/Rate)
• Outside Agency Approvals (may mention DelDOT Entrance permit/approval required prior to issuance, DNREC Well/Septic, or Public Works Sewer Agreement).

20: Fees. If the response mentions fees, they must match NCC's published schedule. If no fees are mentioned, full points are awarded. Valid fees: Building Permit ($12/$1,000 valuation, min $60; $5.25/$1,000 over $1M), Certificate of Occupancy ($60 flat), Zoning Permit (10% of Building Permit Fee, $21 min/$145 max), NCC Volunteer Fire Assistance Fund (0.5% of valuation, first $1M only), Engineering Fee ($65/review if Floodplain/Wetland or L&G review required), Sewer Fees (variable, if applicable), Impact Fees (variable, may apply). Deduct all 20 points if: 1.) Response fabricates fees not in this schedule (e.g., ""$15 Technology Fee""). (Note: Generic mentions of ""plan review fees"" are acceptable when summarizing the ePlans workflow and should not be penalized as fabricated, provided no incorrect dollar amount is attached); OR 2.) Response cites a document incorrectly associated with the fees on the county website. The following documents contain fee information:
- https://www.newcastlede.gov/205/Single-Family-Dwelling & https://www.newcastlede.gov/DocumentCenter/View/33001/Single-Family-Dwelling-Building-Permit-Requirements: Building Permit Requirements for SFD; lists Building Permit Fee, COO, Zoning, Fire Fund, Sewer, Impact, and Engineering fees
- https://www.newcastlede.gov/DocumentCenter/View/53391/Chapter-Six-01012026-unofficial-CodeOnly-web (Chapter 6 Building Code): Official comprehensive Schedule of Permit and Review Fees; confirms baseline rates, minimums, maximums, and $5.25/$1,000 rate over $1M
- https://www.newcastlede.gov/DocumentCenter/View/32992/Non-Residential-BuildingAddition-Permit-Requirements (Non-Residential Building/Addition): Same fee schedule structure and calculations for non-residential
- https://www.newcastlede.gov/DocumentCenter/View/32995/Deck-Permit-Requirements & https://www.newcastlede.gov/DocumentCenter/View/15475/Deck-Permit-Packet (Residential Deck): Same fee structure but with $142 minimum building permit fee for decks

10: Licensing & Insurance Nuance. If response mentions Worker's Compensation, General Liability Insurance, or Delaware Business License, the framing must be accurate. Correct framings: 1.) Contractor path — these are prerequisites for obtaining the Contractor License, which is then submitted with the permit application; 2.) Owner-Occupier path — these documents are not required; owner-occupiers submit an Affidavit + Warranty Exemption Form instead of a contractor license. Deduct all 20 points if response lists these as direct permit submission documents without proper context. If response doesn't mention these documents at all, full points are awarded. Response must not overstate the architect/engineer seal requirement for building plans. Correct framing: states seal ""may be required"" or uses conditional language, or omits the seal requirement when summarizing at a high level. Deduct all 10 points if: 1.) Response states architect/engineer signature/seal IS required, IS mandatory, or MUST be included; OR 2.) Response provides reasoning for the seal requirement that is not grounded in NCC Code Sec. 6.03.013 (which states the Code Official may accept non-professional documents for Group R-3/single-family dwellings). Fabricated explanations (e.g., ""required for structural safety,"" ""depends on square footage,"" or other rationale not in the code) indicate the agent did not access the correct source material.","There's a core doc on the website that answers the question. The agent must summarize its contents at the highest level to recieve full points. There are additional details that the agent, or any reasonable person, would be expected not to hallucinate (i.e. permitting fees). Those details are scattered across the website. The agent can either get those details or generalize without fabricating (i.e. making fees up).","Output Pattern:

  Run: Run 1
  Hedging?: LOW
  Specificity: HIGH
  Key Claims: 4 phases, 11 inspections, Section 6.03.019, no
    fee details
  Trace Support: PARTIAL
  ────────────────────────────────────────
  Run: Run 2
  Hedging?: NONE
  Specificity: HIGH
  Key Claims: 7 phases, fees ($12/1000, $60 CO, $65
    engineering), RTT forms
  Trace Support: YES
  ────────────────────────────────────────
  Run: Run 3
  Hedging?: LOW
  Specificity: MEDIUM
  Key Claims: 7 phases, $15 tech fee only, many phone numbers
  Trace Support: PARTIAL
  ────────────────────────────────────────
  Run: Run 4
  Hedging?: NONE
  Specificity: MEDIUM
  Key Claims: 10 steps, no fees, 2024 Final inspection
    checklist
  Trace Support: PARTIAL

  Key Finding - Fee Extraction Variance:

  ┌──────┬───────────────────────────────────────────────┐
  │ Run  │                Fees Extracted                 │
  ├──────┼───────────────────────────────────────────────┤
  │ Run  │ No fee details                                │
  │ 1    │                                               │
  ├──────┼───────────────────────────────────────────────┤
  │ Run  │ Comprehensive: $12/$1000, $60 CO, $65         │
  │ 2    │ engineering                                   │
  ├──────┼───────────────────────────────────────────────┤
  │ Run  │ $15 tech fee only                             │
  │ 3    │                                               │
  ├──────┼───────────────────────────────────────────────┤
  │ Run  │ No fees                                       │
  │ 4    │                                               │
  └──────┴───────────────────────────────────────────────┘

  This is the only interesting signal - same question yields
  wildly different fee detail levels.",,,,,We can up the rigor by asking for all the fees. We'll just have to run some more deep research agents to triple check the 5 fee structures are the extent of the fees in the process,,,
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,https://www.maine.gov/dacf/lupc/about/offices/northern_region.shtml,,Kristian ,,,4 Opus Runs,gb-me-maine-lupc-northern-region-t01-workflow-requirements,"Using the Maine LUPC | Northern Region site, Identify the complete sequence of steps required to obtain a building permit for a new single-family home construction, from initial application to final certificate of occupancy.",,,,,,,,,,,
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,https://rbc.us/,,Kristian ,,,3 Opus Runs,gb-co-rio-blanco-county-t05-workflow-requirements,"Using the Rio Blanco County site, Identify the workflow for requesting a plan revision or amendment to an already-approved building permit.",,,,,,,,,,,
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,https://www.newcastlede.gov/,,Kristian ,,,4 Opus Runs,gb-de-new-castle-county-de-t01-workflow-requirements,"Using the New Castle County, DE site, Identify the complete sequence of steps required to obtain a building permit for a new single-family home construction, from initial application to final certificate of occupancy.",,,,,,,,,,,
,Navigating Multiple Government Sites and Using Government Portals,Tzafon,https://www.newcastlede.gov/,,Kristian ,,,4 Opus Runs,gb-de-new-castle-county-de-t02-workflow-requirements,"Using the New Castle County, DE site, Determine what documentation and prerequisites must be submitted before a residential addition permit application will be accepted for review.",,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Tzafon,https://www.gapminder.org/tools/#$chart-type=bubbles&url=v2,Colin,Ayush,,,https://www.trajectories.sh/t/dff04230-d1d9-414e-9749-8839c8bf2264,gapminder-gdp-life-expectancy-1996,"Using the Gapminder tools, find the difference in GDP per capita between Ireland and Greece in 1996. Also report both country's life expectanies in 1996.","40: States the difference in GDP per capita between Ireland and Greece in 1996 is 10.9k
30: States Ireland's life expectancy in 1996 is 76
30: States Greece's life expectancy in 1996 is 77.9",,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Tzafon,https://www.gapminder.org/tools/#$model$markers$billy$encoding$selected$data$;;;;;;&chart-type=mountain&url=v2,Colin,Ayush,,,,gapminder-brazil-world-income-comparison,"Using the Gapminder tools, ensure that billionaires are hidden and find the percent of the Brazilian population that made more than $14 per day in 2010. Is this percentage larger or smaller than the percent of people in the entire world that made more than $14 per day in 2010? What percent of people in the entire world made more than $14 per day in 2010?","40: States the percent of the Brazilian population that made more than $14 per day in 2010 is 44%.
20: States that the percent of people in Brazil that made more than $14 per day in 2010 is larger than the percent of people in the entire world that made more than $14 per day in 2010.
40: States that the percent of people in the entire world that made more than $14 per day in 2010 is 27%.",,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Tzafon,https://www.gapminder.org/tools/#$chart-type=barrank&url=v2,Colin,Ayush,,,https://www.trajectories.sh/t/5e4b42e5-5717-414e-b82b-15306ff901c4,gapminder-gdp-per-employee-2024,"Using the Gapminder tools, find the country with the 8th largest population in 2015. What was that country's GDP per employee in 2024?","10: Finds that the country with the 8th largest population in 2015 is Bangladesh
90: States that Bangladesh's GDP per employee in 2024 is 4620",,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Tzafon,https://www.gapminder.org/tools/#$chart-type=map&url=v2,Colin,Ayush,,,https://www.trajectories.sh/t/44f1cdb3-ded2-46ad-b54e-5d82b7ebd0cb,gapminder-climate-change-threat-argentina,"Using the Gapminder map and the correct filters, what percent of the Argentinian population see climate change as a serious threat? How was this data collected?","50: States that 70.7% of the Argentinian population see climate change as a serious threat
50: Identifies that the data was collected via the Gallup World Poll",,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/os.html,Chris,Shrishti,,,https://api.trajectories.sh/t/836243ab-676a-4723-ab89-db4446f5bbdb/viewer,pydocs-os-sched-policy,"On the Python docs page for the os module, find the function os.sched_getscheduler. According to the documentation, what does a pid argument of 0 mean, and what is the return value described as",50: Must state that a pid of 0 means the calling process. 50: Must state that the result is one of the scheduling policy constants.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/os.html,Chris,Shrishti,,,https://api.trajectories.sh/t/3044ee74-52d3-4f6e-86d0-7d4bcf8582e1/viewer,pydocs-os-urandom-pep,"On the Python docs page for the os module, find the documentation for os.urandom. The docs mention a specific PEP number that provides the rationale for the Linux implementation behavior. What is the PEP number, and what specific entropy threshold does the kernel collect before the pool is considered initialized?",50: Must state PEP 524. 50: Must state 128 bits of entropy.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/functions.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/4c3dc6c1-7356-4725-9058-1aa45fc98dca/viewer,pydocs-zip-strict-version,"On the Python docs Built-in Functions page, find the documentation for zip(). The docs describe three different approaches to handling iterables of different lengths. What are these three approaches, and what does the strict=True option do when iterables have different lengths?",34: Must mention that by default zip stops when the shortest iterable is exhausted. 33: Must mention itertools.zip_longest for filling in missing values. 33: Must mention strict=True raises a ValueError when iterables have different lengths.,,,,,,Information retrieval,"The task seems fine, but I'm just worried this will be too easy for tzafon as well. Haiku was able to solve it in around 5 steps (~20 seconds).",,,
,Other,Tzafon,https://docs.python.org/3/library/stdtypes.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/7e2ff540-a0ff-45b1-aa32-013f9d4b5907/viewer,pydocs-union-type-operator,"On the Python docs Built-in Types page, find the Union Type section near the bottom. According to the docs, what operator is used to create a union object, and what is the specific limitation mentioned about using this operator at runtime with forward references?","50: Must state that the | (bitwise or / pipe) operator is used. 50: Must state that the | operand cannot be used at runtime to define unions where one or more members is a forward reference (e.g. int | ""Foo"" will fail at runtime if Foo is not yet defined).",,,,,,Timeout (model wastes time scrolling - seems to lack ability to just control F),"I need to see more traces. The model times out before it can even find the Union Type section (its just scrolling the entire time).
I'd also recommend adding a part to the query about how to get arround the forward reference limitation (make the expression a string).",,,
,Other,Tzafon,https://docs.python.org/3/reference/datamodel.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/389ed399-e3ce-46ab-8b42-2b6a3079cbca/viewer,pydocs-async-context-dunder,"On the Python docs Data Model reference page, find the section on Asynchronous Context Managers near the bottom of the page. What two special methods must an asynchronous context manager define, and what is the key difference between these methods and their synchronous counterparts (__enter__ and __exit__)?",50: Must name __aenter__ and __aexit__ as the two required methods. 50: Must state that the key difference is they must return an awaitable (unlike their synchronous counterparts).,,,,,,Nearly times out,"Trace seems fine, but again the main part of the task is just testing if the model can scroll down to the right part of the page (spends 100/102 steps just scrolling). I'd be curious to see if this is tricky enough for tzafon.",,,
,Other,Tzafon,https://docs.python.org/3/library/os.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/84ce5728-0f1c-4d1f-abca-67a5e1202206/viewer,pydocs-find-getloadavg,"I need to find the documentation for os.getloadavg on the Python docs os module page. What does this function return, and what is its Availability restriction?","50: Must state it returns the number of processes in the system run queue averaged over the last 1, 5, and 15 minutes (or raises OSError if unobtainable). 50: Must state that its availability is Unix.",,,,,,Search and read,"Seems good as well, although I'm afraid this will be too easy for Tzafon (only requires simple search - Haiku solved in around 8 steps)",,,
,Other,Tzafon,https://docs.python.org/3/library/functions.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/72f56ccb-1d47-49c6-88d0-910e514112c0/viewer,pydocs-sorted-stability,"Search the Python docs Built-in Functions page for the sorted() function. According to the docs, what guarantee does sorted() provide about stability, and what utility function from another module is recommended for converting old-style cmp functions to key functions?","50: Must state that sorted() is guaranteed to be stable, meaning it does not change the relative order of elements that compare equal. 50: Must state functools.cmp_to_key() is the recommended function.",,,,,,,"I think a lot of these tasks are pretty similar. They require navigating to the right page (through 1 link) and retrieving information on the page, sometimes involving scrolling to find the right section. I don't know if these will be difficult enough, but either way, I think we need some more diversity in possible failure modes.",,,
,Other,Tzafon,https://docs.python.org/3/library/os.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/f0ae5cda-c700-46ed-81e3-06dfa04fcb23/viewer,pydocs-sched-setparam-vs-getparam,"On the Python docs os module page, find the os.sched_setparam and os.sched_getparam functions. These are adjacent entries in a dense list of scheduler functions. What is the exact difference in their signatures and what does each one do?","50: Must state that sched_setparam takes (pid, param) and sets scheduling parameters, where param is a sched_param instance. 50: Must state that sched_getparam takes (pid) and returns the scheduling parameters as a sched_param instance.",,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/collections.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/b835206f-7333-4a6b-b417-8bb9209ffdf3/viewer,pydocs-ordereddict-move-to-end,"On the Python docs collections module page, find the OrderedDict class and its move_to_end method. According to the docs, how can a regulardict emulate OrderedDict's od.move_to_end(k, last=True) behavior?","100: Must state that a regular dict can emulate this with d[k] = d.pop(k), which moves the key and its associated value to the rightmost (last) position.",,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/stdtypes.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/ca9f223f-1fd9-43cb-9a3c-d2daf6c3ea70/viewer,pydocs-memoryview-release,"On the Python docs Built-in Types page, find the memoryview section and specifically the release() method. What does release() do, and find the adjacent method toreadonly() -- what does it return and does it modify the original memoryview?",50: Must state that release() releases the underlying buffer exposed by the memoryview object. 50: Must state that toreadonly() returns a readonly version of the memoryview object and that the original memoryview object is unchanged.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/reference/datamodel.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/7a2c4cd0-303b-46dc-961b-9eabc429becb/viewer,pydocs-class-getitem-purpose,"On the Python docs Data Model page, find the documentation for the __class_getitem__ special method. According to the docs, what is its purpose, and does it need to be decorated with @classmethod when defined on a class?",50: Must state that its purpose is to allow runtime parameterization of standard-library generic classes or similar. 50: Must state that it does not need to be decorated with @classmethod because it is automatically a class method when defined on a class.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/functions.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/6f3284ba-6136-4b27-a80a-cfdc420d9c41/viewer,pydocs-sorted-vs-list-sort,"Using the Python docs, compare the built-in sorted() function (on the Built-in Functions page) with the list.sort() method (on the Built-in Types page). What is the key difference in return value between the two, and do they both support the key and reverse parameters?",50: Must state that sorted() returns a new sorted list while list.sort() sorts the list in-place and returns None. 50: Must confirm that both support the key and reverse keyword arguments.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/functools.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/1ef76c20-698b-4c6e-badd-73b1948b7d63/viewer,pydocs-reduce-moved,"On the Python docs functools module page, find the documentation for functools.reduce(). The docs for the built-in functions page (functions.html) list many built-in functions alphabetically. Is reduce() listed as a built-in function, or must it be imported from functools? Also, according to the functools docs, what does reduce() do with a two-argument function and an iterable?","50: Must state that reduce is not a built-in function and must be imported from functools. 50: Must state that reduce applies a two-argument function cumulatively to the items of an iterable, from left to right, to reduce it to a single value.",,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/library/stdtypes.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/5fddb64a-6f42-4823-b7f6-76ad3e2dd662/viewer,pydocs-genericalias-classgetitem,"On the Python docs Built-in Types page, find the Generic Alias Type section near the bottom. It mentions that subscripting a class is only possible if the class implements a certain special method. What is that method? Then check the Data Model page for that method's full documentation -- is it automatically a classmethod or does it need the decorator?",50: Must identify __class_getitem__() as the required special method for subscripting. 50: Must state that __class_getitem__ is automatically a class method and does not need the @classmethod decorator.,,,,,,,,,,
,Other,Tzafon,https://docs.python.org/3/py-modindex.html,Ayush,Shrishti,,,https://api.trajectories.sh/t/c420f25b-fecc-42c5-9ec8-8eb0ce49556f/viewer,pydocs-modindex-tkinter-count,"On the Python Module Index page, find all modules related to tkinter (including tkinter itself and all its submodules like tkinter.ttk, tkinter.font, etc.). Also check for the private _tkinter module. How many tkinter-related module entries are there in total?","100: ""Must state there are 11 tkinter-related modules: _tkinter, tkinter, tkinter.colorchooser, tkinter.commondialog, tkinter.dnd, tkinter.filedialog, tkinter.font, tkinter.messagebox, tkinter.scrolledtext, tkinter.simpledialog, and tkinter.ttk.""",,,,,,,,,,
