,,,,,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Opus,https://rhythm-of-food.net/,Kristian,Colin,,,0/3,0/1 (0%),https://taiga.ant.dev/problems/view?problemId=rhythm-of-food-cheeseburger-lamb-min-trend&problemVersionId=0950fa31-8347-4aa3-99d0-42814020e348&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment,rhythm-of-food-cheeseburger-lamb-min-trend,Compare the minimum trend score of Cheeseburger and Lamb. State both minimum trend scores and their difference.,"States that Lamb has a minimum trend score of 12 and Cheeseburger has a minimum trend score of 4, with a difference of 8.", ,"Doesn't know to hover over graph to view info, doesn't understand how to things like find the smallest value in the graph (the innermost item in the innermost ring)",,,,"Read ""year over year trends"" line chart instead of individual weekly data points — got ~30/~25 instead of  12/4","Kristian: The core problem is that the tooltip w the required data isn't showing up. I believe this is from an old environment error, and we've since solved it. I ran it again in conduit to assess whether there's a change in success rate – there isn't. What's happening is that the agent doesn't hover over the elements. It's either this task or another for the same website where the agent 'accidentally' discovers that elements are hover-able, which helps it find the answer. good task concept.",,,,
,Structured Information from Sheets or Docs with Complex Formatting,Opus,https://rhythm-of-food.net/,Chris,Colin,,,,,https://taiga.ant.dev/problems/view?problemId=rhythm-of-food-herbs-spices-summer-popularity&problemVersionId=9996f951-c514-44b7-a820-f47a66213066&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment,rhythm-of-food-herbs-spices-summer-popularity,List all the herbs and spices that have their highest popularities during the summer of 2014.,"Lists Lemon balm, Dill, and Coriander as herbs/spices with highest popularity in summer. Must include all three. Ok if it includes more.", , ,,,,"Browsed ""Summer"" popular items but didn't filter to ""Herbs & spices"" category — listed fruits/drinks instead of herbs",,,,,
,"E-Commerce (Clothing, Furniture, Home Decor, and Electronics)",,Opus,,Ayush,Shrishti,04/29,,1/3,https://taiga.ant.dev/problems/view/?problemId=stripe-country&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7,stripe-country,"Explore the Stripe Press catalog, viewing the covers of all the books. Which book has the largest country pictured on the cover?","[100]: Maintenance: Of Everything, Part One: Brazil. ",,,,,,,"Ayush: I would make the starting URL https://press.stripe.com/ (rather than having a link to a specific book). The model navigates directly to it anyway, but I think it'd just be more fair. I also think that in order to cause failures that are not timeouts, rewrite the prompt as follows:

Explore the Stripe Press catalog, viewing the covers of all the books. Do any of the books have countries illustrated on the front cover? If so, which book has the largest country (by country size)?

And the rewrite the verifier accordingly (as far as I can tell, only Maintaince: Of Everything has a country on its cover?).",,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,Opus,https://peoplemov.in/,Kristian,Colin,,,0/3,https://taiga.ant.dev/problems/view?problemId=top_migrant_destination_jamaica&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=21a94d9d-3322-4fe2-a74b-9d5a380d2fdb,top_migrant_destination_jamaica,"State Bangladesh's lowest non-zero emigrant destination and the number of emigrants who went there, as reported on peoplemov.in. State nothing else.","100: States Costa Rica AND 3 emigrants (or '3 people', 'three', etc.) with no other countries or conflicting numbers mentioned anywhere in the response.",,,,,,Lazy Agent,"*New Comments* 
I really don't know about this task w the reward hacking.
Also the title is unrelated but I may have copied it wrong :/ 

*Old Comments* 

1. I'm wondering whether this is an issue w specificity. if we were to slightly change the wording, would the agent get it right? 

IF it fails on opus also, would be stronger to create two variants to this, one guiding the agent to the correct workflow (using the righthand side locations to get the answer) to prove that it's not only lazy, it can't do the task. 2. I can barely find the right answer myself. I don't think the UI is maintained. the agent is spending a lot of its trace trying to reward hack, understandably. I think we should a.) re-run this with opus, b.) run the task once we've baked in the reward hacking activities in Conduit. I am really really interested in seeing what happens here!",,"According to the data, for Bangladesh, what is their lowest migrant destination (with a non-zero percentage), and how many emigrants went to that country?","100: 'States that the lowest migrant destination is Costa Rica, with 3 emigrants having went to that country'",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Would Need To Tweak / Make Harder,,,,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,Opus,https://www.sec.gov/,Colin,Erik,,100%,~40% pass@5,https://trajectories.sh/t/6f164694-1f59-4366-a504-5c845efcdafa,,,Using the SEC EDGAR filing page for Portillo's Inc. how Berkshire Partners' beneficial ownership changed from IPO to mid-2025. How many total shares did Berkshire beneficially own at IPO? What percentage was that?  How many shares do they own as of the August 2025 filing? What percentage is that?,- r: Berkshire Partners beneficially owned ~45 million shares at IPO. That represented ~63.73% of outstanding Class A common stock.,,,,,,couldn't get to answer,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
