ds,,,,,,,,,,,,,,,,,,,,
,Legend,✅ Accepted,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,,,
,Opus,https://duckduckgo.com/,Kristian,Colin,4/25,0% pass@3,https://trajectories.sh/t/eeacc146-18e1-488d-ac9c-6f2e89993e89,darius-base-skin-spikes,"v1: How many spikes does Darius from League of Legends base skin's armor have? Manually verify your findings, do not use AI generated answers to support your research. 
v2: How many spikes does Darius from League of Legends base skin's armor have?",States that Darius's base skin armor has 16 spikes.,https://www.loom.com/share/a3d84aa3ff3f44f9af330e297e4b94c3,,,,,,"Kristian: This task is so so good, for so many reasons. It's golden. 

I'll use this space to discuss someting slightly less obvious: I remember looking at this task and seeing it copy AI answers from duckduckgo, and then end the session based on the answer. Not sure if that's in the traces you submitted, or ones I ran locally a while back. 

Love exploring this challenge, and it evokes the question whether it's fully fair as a task in either instance: a) instance a where you tell it to not use AI results and it gets it wrong, and b) instance where you don't tell it not to use AI and it trusts an AI slop answer. I'd also be comfortable packaging both of those up together, as opposed to just one and trying to justify the perspective.",States that Darius's base skin armor has 16 spikes.,How many spikes does Darius from League of Legends base skin's armor have?,
,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,https://eyes.nasa.gov/apps/solar-system,"Chris, Ayush",Shrishti,,10%,,https://www.trajectories.sh/t/fe44838e-f86e-4da9-a4f4-21da750f68e4,nasa-peak-satellites-2005-to-2010,"between January 2007 and January 2009, identify which single month and year has the most active spacecraft/satellites visible in the solar system view. Do not count satellites orbiting Earth. Report that month and year, the total number of satellites active during that month, and list the names of each satellite.","[30]: Identifies July 2009 as the month and year with the most active satellites during the January 2005 - January 2010 window.[30]: States that there are 15 satellites active in July 2009. [40]:  Lists the 15 satellites: MESSENGER, STEREO Ahead, STEREO Behind, Kepler, Voyager 1, Voyager 2, Dawn, Rosetta, Stardust, Spitzer Space Telescope, Deep Impact, New Horizons, 3I/ATLAS, Pioneer 10, and Pioneer 11.",,,,,,,agent correctly gets some of the satellites but then starts searching up from memory about satellites that it knows were launched during that time period even though they are not viewable in the UI.,
,Opus,https://www.theguardian.com/us-news/ng-interactive/2016/oct/20/final-presidential-debate-clinton-trump-interactive,Kristian,Colin,,,Trace 1 – Reward hack rabbit hole,response_to_second,"From this Guardian page, state (1) who responded first to the second question and (2) their exact words, copied verbatim.","100: Full points awarded if and only if: (1) Trump identified as first responder to second question, AND (2) response is exactly this, and nothing else, and nothing more: ""if that would happen because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states"". Additional context around quote is OK. No points awarded if quote is paraphrased, words are substituted/added/omitted, or speaker is wrong.",,,,,,"Timeout, Broken UI, Agent Wastes Time Reward Hacking","New Comments
Kristian: Update – noVNC not working for the gaurdian website. Check in w Erik. 

Kristian: Agent now reward hacks using wayback machine to get version of site that works, but site is virtually the same with less bugs. Should 1.) double check whether site works on noVNC, 2.) Consider using archived version on wayback machine if current site doesn't load in container properly.

Kristian: Even if this works, it goes on other websites to get the content, and this thusly exposes the flaw in our task design and is thus not presentable to a client. We'd have to turn off internet access for this task to be more presentable. 

Old Comments 

1. I think this is a really interesting task because the site it sort of broken. the agent must learn to perhaps reconfigure view settings, etc. in order to decode the answer.",,Who responded first to the second question and state precisely what they said?,"100: 'States that trump stated the following: if that would happen because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states'"
,Opus,https://www.theguardian.com/us-news/ng-interactive/2016/oct/20/final-presidential-debate-clinton-trump-interactive,Kristian,Colin,,,https://trajectories.sh/t/1f93f7e6-c4df-4d40-a211-38bdebd4d5a2,moderator_speaking,"During the first question, how many times does the moderator have a separate speaking turn after posing the initial question?",100: 'States that the moderator spoke 6 times',Count how many dots are in the very middle of the graph as you scroll down the first question (there are 6 dots),,,,,,"1. My only major problem with this is that the question in itself could be considered a question, which might explain variation in future runs. consequently, I think we need to augment the verifier to accomodate this detail. OR add ""only looking at the dots"" or ""not including the question in iteself as an instance of speaking"" but that wording is a little bad becasue you could argue the ""secretary clinton, you go first"" is an extension of that 'time in which the moderator spoke' 2. The trace is super interesting because it actually recognizes the page is likely busted and it goes on wayback machine to try to get the old version. ",,,
,Opus,https://www.theguardian.com/us-news/ng-interactive/2016/oct/20/final-presidential-debate-clinton-trump-interactive,Kristian,Colin,,,https://trajectories.sh/t/c51951f5-a71a-4f56-a7bc-875666495599,clinton_response,"After trump states 'She took that as saying nuclear weapons. Look, she's been proven to be a liar...', what did Clinton say next?","100: 'States that Clinton said: Well, Im just quoting you, when -- you were asked about a potential nuclear competition in Asia you said go ahead and enjoy yourselves folks.'","The text for the answer is right above the ""We are going to move on to the next topic, which is the economy. Please explain to me why you believe that your plan will create more jobs and growth for this country and your opponent's plan will not."" section of the article",,,,,,"Perhaps verifier should not include contains() logic, and we should throw in something a little more robust.

agent also immediately gives up around using UI in trace, and searches for the transcript elsewhere. It actually succeeds at finding the script elsewhere, and more or less responds correctly. 

We expect: ""Well, Im just quoting you, when -- you were asked about a potential nuclear competition in Asia you said go ahead and enjoy yourselves folks.'""

The agent writes: ""I found the relevant section of the transcript. I can clearly see the exchange:

- **Trump**: ""Look. **She's been proven to be a liar** on so many different ways. This is just another lie.""

- **Clinton**: ""Well, I'm just quoting you when-""

After Trump said ""She's been proven to be a liar... This is just another lie,"" **Clinton said: ""Well, I'm just quoting you when-""**"" 

This isn't WRONG

We might want to paraphrase the quote in the request to create another layer of difficulty where it can't easily command F the answer – either on this site (which fails anyhow) or others. not sure, just an idea. 

In the current verifier, Clinton does in fact get interrupted right where the agent ends the clinton quote. so it's not wrong, in fact, it's technically more correct than the verifier. ",,,
,Opus,https://www.theguardian.com/us-news/ng-interactive/2016/oct/20/final-presidential-debate-clinton-trump-interactive,Kristian,Colin,,,https://trajectories.sh/t/bbb3ee2d-d9b9-41e5-98cf-e4b455fe6d41,off_topic_responses,"In the segment about fitness to be president of the United States, how many off-topic responses did Trump give?",100: 'States that Trump gave 5 off-topic responses',Look at the leftmost side of the graph that implies a trump response was off-topic. Scroll down to the section about fitness and then count how many responses are annotated on that leftmost side.,,,,,"Timeout, Broken UI, Agent Wastes Time Reward Hacking",Same comments as before. Super interesting to see what will happen post reward hacking preventions,,,
,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,https://eyes.nasa.gov/apps/solar-system,"Colin, Shrishti",Chris,Apr 20,,,https://taiga.ant.dev/problems/view?problemId=nasa-saturn-orbit-pass&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=6a7a43f4-8fa9-4408-8ae0-bfda37422817&qaReviewMode=&snapshotId=&selectedRuns=1c75e8c6-b4e4-4244-b941-1f5a59e8647a,nasa-saturn-orbit-pass,"Based on the UI, what date and time did new horizons pass the saturn orbit?","Says Jun 05, 2008 anywhere between 03:30:00 and 03:40:00 pm",,,,,,,Shrishti: too difficult of a task because it is completely dependent on angle and interpretation. There is not hard core correct answer which makes it unfair for the agent.,
,,,,,,,,,,,"If Calipso begins its orbit on Janurary 30, 2010 at 6:48pm. According to the map, at what time does it complete 3 orbits?",,,,,,,,,
