,,,,,,,,,,,,,,,,,,,,,,,
,Legend,,Ready for HUD,✅ Ready to move to other sheet,🫡 Ready for QA,🙈 Big Reworking,🪛 Tweak Wording,🏃‍♂️ Run on Opus,In progress,No Status Label Yet,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://peoplemov.in/,EQ,,,,0%,https://taiga.ant.dev/problems/view?problemId=lowest_migrant_destination_bangladesh&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=7281cb8b-32cc-44bd-8db2-dd35c7a3f3b2&selectedRuns=40509247-fbfd-46ed-8d4b-cbf032a08d9b,lowest_migrant_destination_bangladesh,"State Bangladesh's lowest non-zero emigrant destination and the number of emigrants who went there, as reported on peoplemov.in. State nothing else.","100: States Costa Rica AND 3 emigrants (or '3 people', 'three', etc.) with no other countries or conflicting numbers mentioned anywhere in the response.",,,,,,,,,,
,Other,,hud,duckduckgo.com,,Colin,,,55%,https://taiga.ant.dev/problems/view?problemId=mysterious-monkeys-toplaner-earliest-pro-debut&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=358fe5e9-4701-456f-8429-c2ba614ad4ba,mysterious-monkeys-toplaner-earliest-pro-debut,"Out of all the toplaners (non-sub) that played for Mysterious Monkeys before their rebrand, who started playing professionally the earliest, and what year did they join their first team?",100: States Kikis as that toplaner and 2011 as the year they joined their first professional team (minor spelling variants of the player name acceptable)., ,,,,,,,,,
,Other,,hud,duckduckgo.com,,Colin,,,0%,https://taiga.ant.dev/problems/view?problemId=rng-worlds-2018-wins-most-picked-champion&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=61427d81-3531-4685-8976-77bd70cce35a,rng-worlds-2018-wins-most-picked-champion,"Out of all the games RNG won during Worlds 2018, which champion was locked in most often, and how many times was it locked in across those matches?","100: States that Aatrox was the most often locked-in champion when counting every champion selection in RNG's Worlds 2018 wins, and that it was locked in exactly 5 times (reasonable paraphrases acceptable; champion name and count must match).", ,,,,,,,,,
,Other,,hud,duckduckgo.com,,Colin,,,21%,https://taiga.ant.dev/problems/view?perf=%7B%22binarizeRewards%22%3Atrue%7D&problemId=sneak-debut-album-department-leads&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=4092c65f-55cd-4ce7-b6e9-d821fd443266,sneak-debut-album-department-leads,"Which individuals or entities led the following efforts for sneak's debut album: executive production, creative direction and project management, marketing, distribution, and development of the artwork and digital assets?",100: Executive production: Rok. Creative direction and project management: Hamed. Artwork and digital assets: P5radigm. Marketing: Swan. Distribution: Warrlock LLC.,sneak task justification.png,,,,,,,,,
,Other,,hud,duckduckgo.com,EQ,Colin,,,20%,https://taiga.ant.dev/problems/view?problemId=future-second-longest-song-pre-2025&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=433f6b20-fd22-4c58-ad34-5c09a68065a1,future-second-longest-song-pre-2025,"What is Future's second longest song (where he is the main artist) in duration, among tracks released before 2025?",100: States Red Leather is Future's second-longest main-artist track by runtime among releases before 2025.,"Kind of a trick question because the ""longest song"" Like I Never Left is actually a documentary but sometimes gets listed as a song by streaming platforms","wealth of tracks, varying sources, open ended, seems to get it right when it focuses on apple music discography, which could change in the future (ha) ",,,,,,,,
,Other,,hud,duckduckgo.com,,Colin,,,60%,https://taiga.ant.dev/problems/view?problemId=edg-blue-side-ban-role-most&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=0d3f05e6-b66d-438b-b8c5-6815b5acf35d,edg-blue-side-ban-role-most,"At Worlds 2018, in games where EDG played blue side, what role/lane of champions did they ban most often, and how many times did champions of that role/lane get banned?","100: For EDG's blue-side games at Worlds 2018, states toplane (top lane) as the banned role/lane they targeted most and 13 total bans of champions in that role/lane.", ,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://rhythm-of-food.net/,,,,,,https://taiga.ant.dev/problems/view?problemId=rhythm-of-food-herbs-spices-summer-popularity&problemVersionId=0716ca79-1b92-47af-9a42-8c3b5b2c76e4&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment&qaReviewMode=&snapshotId=,rhythm-of-food-herbs-spices-summer-popularity,List all the herbs and spices that have their highest popularities during the summer of 2014.,"Lists Lemon balm, Dill, and Coriander as herbs/spices with highest popularity in summer. Must  include all three.", ,,,,,,Colin to run pass@10 with archive,,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://rhythm-of-food.net/,EQ,,,,5%,https://taiga.ant.dev/problems/view?problemId=rhythm-of-food-cheeseburger-lamb-min-trend&problemVersionId=5de24ffd-23cb-448b-8d8a-0add67ae6359&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment&qaReviewMode=&snapshotId=,rhythm-of-food-cheeseburger-lamb-min-trend,Compare the minimum trend score of Cheeseburger and Lamb. State both minimum trend scores and their difference.,"States that Lamb has a minimum trend score of 12 and Cheeseburger has a minimum trend score of 4, with a difference of 8.", ,,,,,,"Erik - I'm worried about the wording of this task -- the site is dynamic, not archived, and the minimum score depends on when, and this seemsto change per month -- we should archive this and probably be slightly more specific 
Chris - Colin to run pass@10 with archive",,,
,Structured Information from Sheets or Docs with Complex Formatting,,hud,https://histography.io/,Chris,Shrishti,04/29,,17%,https://taiga.ant.dev/problems/view?q=histography-third-earliest-war&problemId=histography-third-earliest-war&problemVersionId=e83dd18a-556a-44a7-9b87-6e0d41989f98&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment&qaReviewMode=&snapshotId=,histography-third-earliest-war,"Go to histography.io. What was the third earliest war and when did it happen? If there is a tie, list all the wars that tie for the fourth earliest.","[100]: The third earliest wars were the Campaigns of Sneferu, Campaigns of Enshakushanna, and Enmerkar's Siege of Aratta in -2600.",,,,,,,Chris: Update the task to ask for the 4th war according to the timeline,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Re-Run Post-Environment Updates,,,,,,,,,,,,,,,,,,,,
,Other,,Opus,https://www.theguardian.com/world/2016/sep/23/revealed-uk-takeaways-fail-food-hygiene-tests-restaurants-takeaways,Kristian,Colin,,,0/6,https://taiga.ant.dev/problems/view?problemId=number_failed&problemVersionId=e48dcb93-6314-4372-a9b6-345410a11bd1&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment&qaReviewMode=&snapshotId=,number_failed,"Across the UK, how many areas have a failed inspection rate of more than 20%?",100: 'States that 6 areas have a failed inspection rate of more than 20%',,,,,,,"Kristian: we made env changes a while ago that may alter the results in favor of opus. I'd like to re-run before revisiting the 1 other issue re: legend on left side

@colin you'll need to defend your opinion on this guy – I have a hunch you're seeing something that I'm not. At first and second glance, I think there's a big specificity problem (3 diff rates are listed, and it's not clear if the all food establishments is even an avg or weighted avg of the other two metrics)",,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,In Progress,,,,,,,,,,,,,,,,,,,,
,,,hud,duckduckgo.com,,Colin,,,95%,https://taiga.ant.dev/problems/view?problemId=mysterious-monkeys-toplaner-earliest-pro-debut&referrer=environment&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&problemVersionId=358fe5e9-4701-456f-8429-c2ba614ad4ba,mysterious-monkeys-lec-players-may-2026,Which players that played on the LoL team Mysterious Monkeys still play in the LEC as of May 2026?,"100: States Carrzy, BrokenBlade, and Upset as the players (accepts noting Upset is also known as Ohq v1 or similar alias; all three names must be identified).", ,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://karthikeyags.myportfolio.com/screens-of-august-tangible-dataviz,,Shrishti,4/27,,0%,https://taiga.ant.dev/problems/view?q=karthikeya-entertainment-cross-reference&problemId=karthikeya-entertainment-cross-reference&problemVersionId=43c71b55-23ae-4bd1-b4ed-64f8ce8c45d0&environmentId=1b3149fd-3117-4df8-854a-1ee429b48cb7&referrer=environment&qaReviewMode=&snapshotId=,karthikeya-entertainment-cross-reference," On the ""Screens of August"" page, list the 4 days that Entertainment reaches its lowest value. Out of each of those days and the listed categories on the bar chart, which category has an even lower value and what date does it reach its lowest value?","[60]: Identifies the 4 days as 17/08/22, 21/08/22, 23/08/22, 28/08/22 [40]:Identifies 17/08/22 as the date and Finance as the category with an even lower value. ",https://drive.google.com/file/d/1R0ues5GADFuD_Ng-sxtxqw1rm2HvOPJL/view?usp=sharing,,,,,,"Shrishti: Agent struggles with finding the graphics on the website and wastes ~50 steps doing so. Struggles to zoom and read the graph and bar chart. Doesn't filter to get a clear view of the entertainment line
Kristian: Not sure how performance will change w fixed zoom tool; we can do a re-run to see what happens",,,
,Other,,Opus,https://pudding.cool/2026/02/happy-map/,"Colin, Kristian",Shrishti,4/25,,67%,https://www.trajectories.sh/t/749bd7bf-9bcb-4318-b742-5b01baea54ba,happymap-find-woman,"Open the filter panel (button in top-right). Apply all of the
    following filters simultaneously:
    (1) Location: U.S. only 
    (2) Sex: Female only
    (3) Age: 20-29
    Who was happy when they were able to run 3 miles without stopping? Describe their outfit, appearance, age, marriage status, and whether they were a parent or not. Then state the most specific subcategory they belong to.",[80]: For clothing description must include something along the lines of a long plum dress and long black hair. She is a 27 year old female who is married but not a parent. [20]: The subcategory they belong to is personal growth: problem solving.,https://drive.google.com/file/d/1CgNqf11vLtlsZtXoyKFuXMXHkcYNIBWy/view?usp=sharing,,,,,,"Colin: Looks like the agent got the right answer but the verifier was being too strict: ""While the age (27), sex (female), marriage status (married), and parent status (not a parent) match, the clothing description does not mention a plum dress - instead it describes a pink/magenta coat with dark pants and boots. The hair is described as 'dark' rather than specifically 'long black hair.' The outfit description does not sufficiently match the criterion.""",,,
,Other,,Opus,https://pudding.cool/2026/02/happy-map/,"Colin, Kristian",Shrishti,4/25,,0%,https://trajectories.sh/t/aafe6b61-4a1a-48b9-b808-f849d1d05a9b,happymap-find-pairs-education,"Go to pudding.cool/2026/02/happy-map/ and skip or complete the intro story to reach
the explore mode. Open the filter panel (button in top-right). Apply all of thefollowing filters simultaneously: (1) Location: U.S. only (2) Sex: Male only. Which subcategory in Education has the most pairs with matching outfits? List the maximum number of pairs per subcategory. If there are multiple pairs of the same outfit, count them as one pair.","[80]: Graduation and Completion: 7, Course and Project Success: 0, Admissions and Enrollment: 0, Academic Performance: 14, Discovery and Exploration: 0, Learning and Development: 2. [20]: The subcategory with the most pairs is Academic Performance.",https://drive.google.com/file/d/1ijmtkrL__-WyH8c7sYdKOkyEJbvn0V7l/view?usp=sharing,,,,,,"Shrishti: Timeout fail but agent spends most of the run ""missing"" clicking on the characters and trying to reward hack.",,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://worldshap.in/#/,Kristian,Shrishti,4/27,,0% pass@3,https://trajectories.sh/t/3dd28044-6fc7-45b7-9b0d-ee80000aedf5,worldshapin-norway-axis-reaching-boundary,"On worldshap.in, remove all other countries, add Norway, and start at 1980. Identify which of Norway's axes reaches the closest to the boundary when moving across the timeline. Then find the approximate year when that corresponding bar chart value is maxed out. Report the first year this happens and the value of the bar at this time.",[100]: Identifies that Norway's most-extended axis is Education. The bar chart value that is maxed out is Expected Years of School which is 17.3 years in 2011.,https://drive.google.com/file/d/1qkD8t8lHa4SpX6Srj9q3wuBqHmQrZk_l/view?usp=sharing,,,,,,Shrishti: Agent correctly gets Japan and the corresponding values for it but struggles with Norway. It thinks that living standards is the farthest extended and it is very close in the bar chart but education is slightly more and clearly grows more in the visualization.,,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://worldshap.in/#/,Ayush,Shrishti,4/27,,50% pass@3,https://trajectories.sh/t/168ca3f5-4b2c-403d-8d2b-b162ee4f296e,worldshapin-brazil-second-fastest-growing-axis,"On worldshap.in, remove all other countries and hide world. Add Brazil and reset the timeline to 1980.  Now drag the timeline all the way to 2011 and observe how the shape transforms. By visually comparing the 1980 and 2011 shapes, identify which axis grows the most and which grows the second most. Then report how much the corresponding bar chart values grew in percentage. Are the visual and bar chart growth the same?","[50]: Identifies that CO2 emissions shows the most visual growth and Population shows the second most growth. [50]:CO2 per capita grew from 1.5372 tons/person to 2.0529 tons/person, a growth of 33.59%. Population grew from 121,711,900 to 196,655,000, a growth of 61.6%. The growth is NOT the same.",https://drive.google.com/file/d/1_0s7ziPJ8moaDNPP4QjYvSFzB1skAzNO/view?usp=sharing,,,,,,"Ayush: Mean years of school grows from 2.6 to 7.2 not 1.6 (incorrect verifier). More importantly, the verifier used in the traces is not the one on the spreadsheet. The one on the spreadsheet seems much more accurate (and also aligns more with the model's answer). The one used in the traces says CO2 and population show the most visual growth, which I don't think is correct.",,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Update Colors,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,Opus,https://fred.stlouisfed.org/graph/?g=1wmdD#,Colin,Ayush,04/24,,66% pass@3,"Trace 1, Trace 2, Trace 3",fed-reserve-unemployment-rate-difference-california-vs-texas,"Consider the graph obtained by plotting half the unemployment rate in California (unit: percent) subtracted by the unemployment rate in Texas (unit: percent) on the y-axis and the year on the x-axis. In which month of which year, starting from 1976 to the beginning of 2026, was the difference most negative? What was the difference? In which year was the sharpest decrease in the difference (most negative derivative of the graph)?",States the difference was most negative in December of 1986. The difference was -6.05%. States that the sharpest decrease occured in the year 2020.,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,Opus,https://fred.stlouisfed.org/graph/?m=1wm8j,Colin,Ayush,04/24,,0% pass@3,"Trace 1, Trace 2, Trace 3",fed-reserve-metropolitan-statistical-areas-unemployment-rate-greater-than-10,"Using only this website, in January of 2026, what Metropolitan Statistican Areas had an unemployment rate greater than 10%?","States that the Metropolitan Statistical Areas with an unemployment rate greater than 10% in 2026 were Visalia-Porterville, El Centro, and Yuma.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Big Lift to Fix,,,,,,,,,,,,,,,,,,,,
,Navigating Government Sites and Using Government Portals,,Opus,https://www.usaspending.gov/explorer/budget_function,Kristian,Ayush,04/24,,66% pass@3,"Trace 1, Trace 2, Trace 3",usaspending-commodity-assistance-program-outlays,"In FY 2026 (as of 2/27/2026), how much has the Commodity Assistance Program paid in outlays to the cent?","States that the Commodity Assistance Program paid $184,508,124.75 in outlays in FY 2026.",,,,,,,"Kristian: The rubric... sort of demands an exact figure to the cent ($184,508,124.75), penalizing both rounded millions ($184.51M) and whole dollar amounts ($184,508,125) without any specific request in the task. But the rubric doesn't operate deterministically – sometimes it's forgiving of 75 c errors, other times it's not. Not sure it'll fail once this is addressed.",,,
,,,,,,,,,,,,,,,,,,,,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://rhythm-of-food.net/,"Kristian, Chris",Colin,,,0/3 (0%),https://trajectories.sh/t/041f827f-c08f-466f-a798-afac6fd09089,rhythm-of-food-december-diet-score,Find the food item 'Diet' and look at the weekly data. Sum the trend scores for all weeks of December 17-23 across all available years. What is the total?,States the total sum is 407.,,,,,,Doesn't solve in time,"Kristian: Kristian: Colin Zhao are you sure you can get the values for 2009? Even with zoom, it's neither possible for me nor the agent to extract that specific value.",,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://rhythm-of-food.net/,,Colin,,,0/1 (0%),https://trajectories.sh/t/29bac2e3-abc9-416b-9c22-0ff7b93fc871,rhythm-of-food-feijoa-4th-highest,Find the food item 'Feijoa'   and look at its weekly trend scores. Which week had the 4th highest trend score? Also state the top 4 scores.,"States that the week with the 4th highest trend score  is April 18 2004, and the top 4 scores are 100, 100, 99, and 98.",,,,,,Got stuck and tried to reward hack,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://datatopics.worldbank.org/sdgatlas?lang=en, ,Colin,,,0/1 (0%),,worldbank-sdg-water-below-threshold-1969,"In 1969,   how many countries fell below the minimum threshold of per capita water for food production needs?",States that 13 countries fell below the minimum threshold.,,,,,,Task  crashed on first run due to missing archive; rerun still in progress — agent escaping browser into file manager,,,,
,Structured Information from Sheets or Docs with Complex Formatting,,Opus,https://makinguse.com/thatsedu/,"Colin, Kristian",Shrishti,,,67% pass@3,https://www.trajectories.sh/t/726fe4e5-c3a4-4902-99d6-dd538fb3919f,thatsedu-bubble-ratio,Go to makinguse.com/thatsedu/ and view the Society perspective for Men and Women. Which country is closest in radius length between the left most and middle benefit bubbles?,"[100]: Slovenia has the closest radius length since the ratio of its income tax effect to social contribution effect is 1.091. Income tax effect: 83,809, Social contribution effect: 76,800.",,,,,,,"Kristian: a.) It's ambiguous what the 'middle' benefit bubble is when there are four (or an even number of) benefit bubbles. b.) the ratio provided in the verifier is not computed correctly. c.) request for reasoning, along with computation around radius ratios not outlined in task. d.) not clear if filter should be upper secondary or tertiary, but keeping it vague is ok (then default filter should be present)

Colin: I feel like the question doesn't ask what the bubbles represent so it doesnt make sense to put in grading rubric, otherwise good",,Go to makinguse.com/thatsedu/ and view the Society perspective for Men and Women. Which country is closest in radius length between the left most and middle benefit bubbles?,"[20]: Identifies left most bubble as income tax effect and middle bubble as social contribution effect. [80]: Slovenia has the closest radius length since the ratio of its income tax effect to social contribution effect is 1.091. Income tax effect: 83,809, Social contribution effect: 76,800."
,Navigating Government Sites and Using Government Portals,,,https://eyes.nasa.gov/apps/solar-system,,Shrishti,,66%,,https://trajectories.sh/t/95e11fe1-2011-44e2-99b4-5594ae5a1f75,nasa-pluto-flyby,"Based on the UI, what is the closest distance that New Horizons gets to Pluto? Approximately what date and time does this occur?","[50]: distance = 12.49 thousand km [50]: July 14, 2015 at 11:47:47 am to 11:49:08am UTC. Accept any time between 11:47 and 11:50.",,,,,,,solid but could be likely too easy for nibbbles,,,
,Other,,Opus,https://www.reuters.com/graphics/GLOBAL-ENVIRONMENT/INSECT-APOCALYPSE/egpbykdxjvq/,Shrishti,Colin,,,20% pass@5,https://www.trajectories.sh/t/e13423d0-d7a7-4466-a11a-6e8cf3d5edc4,reuters-insect-fox-prey-chain,"According to the first graphic, list all animals that are eaten by animals eaten by the American Red Fox.","Lists all of the following animals eaten by the fox's prey (Darkling beetle, Butterfly larva, Cockroach, Butterfly, Grasshopper, Dragonfly, Yellowjacket, Bee).",read the creatures that the Deer mouse and Blackbird eat,,,,,,"Kristian: This does not look like a fair fail. The verifier is looking for merged values (butterfly vs butterfly + butterfly larvae). I think this is overtly pedantic in a non-objective way. Am I missing anything re: this task? 

Shrishti: interesting failures here. agent finishes in 5-6 steps every time but keeps thinking that butterfly and grasshopper are one creature saying ""butterfly grasshopper"" or ""butterfly/grasshopper"" even though there are images of both and they are very distinct. the agent should be able to easily make that realization.",,,
,Other,,Opus,https://pudding.cool/2026/02/happy-map/,Kristian,Shrishti,,,0/3 (0%),"Traces w Lifted Step Count: https://www.trajectories.sh/t/5d4b731d-d8c1-4ae1-94fc-a1f08bd8a855
https://www.trajectories.sh/t/a9db2efa-20da-4ca3-a034-f62760dcb419?trial=conduit__daeb3fb&step=1",happymap-multi-filter-demographics,"Apply all of the following filters simultaneously: (1) Location: U.S. only  (2) Sex: Male only (3) Marital Status: Divorced only (4) Parental Status: Not Parent only. Now examine the remaining dots on the map. Out of the subcategories in sensory pleasure: atmospheric, physical sensation, and atmospheric, which subcategory has the highest average age? Discount people of age 0.","[50]: taste & smell = 37.1875, atmospheric = 40.0625, physical sensation = 34.7273. Must correctly calculate the average age for each subcategory. [50]: Must conclude that atmospheric has the highest average age.", , ,,,,,"Kristian: Task becomes easy when stepcount lifted. There are a few reward hacking attempts that can take up to 35% of a given trace, but it doesn't seem like an inappropriate amount (it doesn't go deep down one rabbit hole, tries a few strats, they don't work, then it solves the problem). Step count can take anywhere from 181-348. Task wording is confusing, as Atmospheric is listed twice.",,,
